name,animaltype,breed,colour,sex,suburb,AgeYears
ALBIE ,DOG ,KELPIE ,BLACK/TAN ,M,BANNOCKBURN,
BART ,DOG ,FOX TERRIER X ,WHITE & TAN ,M,BANNOCKBURN,
MANKY ,DOG ,JACK RUSSELL TERRIER ,BROWN ,F,BANNOCKBURN,
PEPSI ,DOG ,JACK RUSSELL TERRIER ,BROWN ,M,BANNOCKBURN,
TED ,DOG ,TERRIER CROSS ,TAN ,M,BANNOCKBURN,
PIPPIN ,DOG ,BORDER COLLIE X ,BLACK AND WHITE ,F,BANNOCKBURN,
MACBETH ,DOG ,WEST HIGHLAND TERRIER ,WHITE ,M,BANNOCKBURN,
FLORA ,DOG ,WEST HIGHLAND TERRIER ,WHITE ,F,BANNOCKBURN,
BELLA ,DOG ,KELPIE ,BLACK/TAN ,F,BANNOCKBURN,
ANDY ,DOG ,JACK RUSSELL TERRIER ,BR-WHITE ,M,BANNOCKBURN,
POLLY ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,BANNOCKBURN,
CHINA ,CAT ,SIAMESE ,GREY/BLACK ,F,BANNOCKBURN,
JACK ,DOG ,KELPIE ,BLACK/TAN ,M,BANNOCKBURN,
HARLEY ,DOG ,MINIATURE FOX TERRIER ,BLACK AND WHITE ,M,BANNOCKBURN,
BUSTER ,DOG ,MINIATURE FOX TERRIER ,BLACK/WHITE ,M,BANNOCKBURN,
ROONEY ,DOG ,MALT./SHIH TZU X ,SABLE ,M,BANNOCKBURN,
INDIE ,DOG ,LABRADOR ,YELLOW ,F,BANNOCKBURN,
CUBBY ,DOG ,BORDER COLLIE ,WHITE/BLACK ,M,BANNOCKBURN,
NALA ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,F,BANNOCKBURN,
BAILEY ,DOG ,LABRADOR ,BROWN ,M,BANNOCKBURN,
ANNI ,DOG ,FOX TERRIER ,TAN & WHITE ,F,BANNOCKBURN,
JED ,DOG ,JACK RUSSELL TERRIER ,WHITE & TAN ,M,BANNOCKBURN,
MISSY ,DOG ,FOX TERRIER ,TRI COLOUR ,F,BANNOCKBURN,
MAX ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
BENJI ,DOG ,MALT./SHIH TZU X ,WHITE & CREAM ,M,BANNOCKBURN,
CFOR ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,F,BANNOCKBURN,
PURRDY ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,F,BANNOCKBURN,
LILY ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BANNOCKBURN,
LEO ,CAT ,DOMESTIC SHORT HAIR ,WHITE/BLACK ,M,BANNOCKBURN,
BEST ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
ISABELLE ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
