name,animaltype,breed,colour,sex,suburb,AgeYears,blank
Patti,D         ,DACHSHUNDM,Tan       ,F,BUDERIM,17,
Butler,D         ,DALMATIAN ,Liver     ,F,BUDERIM,17,
Trixie,D         ,TERRIERAUX,BlackTan  ,F,EUMUNDI,18,
Bear,D         ,SHIHTZUX  ,Unknown   ,M,MARCOOLA,17,
Rusty,D         ,SHIHTZUX  ,TriColour ,M,LITTLE MOUNTAIN,17,
Teala,D         ,POMERANIA ,Caramel   ,F,MAPLETON,17,
Violet,D         ,SCHNAUZMN ,SilverBlac,F,MAROOCHYDORE,17,
Jasmine,D         ,LHASAAPSO ,White     ,F,BUDERIM,17,
Minty,D         ,COLLBORDRX,BlackWhite,F,TWIN WATERS,22,
Rusty,D         ,POODLEMIN ,Apricot   ,M,MOOLOOLABA,16,
Tess,D         ,MALTESE   ,Champagne ,F,YANDINA,21,
Yan,D         ,SPANIELTB ,Sable     ,F,MOUNTAIN CREEK,16,
Biscuit,D         ,FOXTERRMNX,CaramelWht,F,MOUNT COOLUM,16,
Ozzie,D         ,MALTESEX  ,White     ,M,COOLUM BEACH,16,
Rikkee,D         ,STAFFRDBT ,Black     ,F,COES CREEK,16,
Spana,D         ,SPANIELCKX,Gold      ,M,MOOLOOLAH VALLEY,16,
Abbey,D         ,CATTLEDOG ,Red       ,F,SIPPY DOWNS,16,
Lady,D         ,COLLBORDR ,Wheaten   ,F,DIDDILLIBAH,17,
Saffron,D         ,CATTLEDOGX,Red       ,F,MOOLOOLABA,17,
Peppa,D         ,LHASAAPSO ,TriColour ,F,PALMVIEW,16,
Milko,D         ,TERRIERSI ,Gold      ,M,PACIFIC PARADISE,15,
Molly,D         ,MALTESEX  ,White     ,F,BUDERIM,16,
Eddie,D         ,POMERANIAX,Tan       ,M,PARREARRA,16,
Nobby,D         ,LHASAAPSO ,GoldWhite ,M,BURNSIDE,17,
Shana,D         ,COLLBORDRX,BlackWhite,F,BLI BLI,15,
Myffy,D         ,CORGICARD ,BrindlWhit,F,BUDERIM,15,
Toby,D         ,POODLETOYX,Red       ,M,BLI BLI,15,
Summer,D         ,BEAGLE    ,BlackTanWh,F,MAROOCHYDORE,16,
Sprocket,D         ,KOOLIEX   ,WhiteTan  ,M,KUREELPA,15,
Lotti,D         ,TERRIERSMX,Brown     ,F,TOWEN MOUNTAIN,16,
AJ,D         ,LHASAAPSOX,BlackBrown,F,PARREARRA,15,
Buddy,D         ,PAPILLONX ,TriColour ,M,BEERWAH,15,
Bronte,D         ,GERMNSHEP ,Sable     ,F,COES CREEK,15,
Jordan,D         ,COLLBORDR ,BlackWhite,F,YANDINA,15,
Lulu,D         ,LHASAAPSOX,Brown     ,F,PEREGIAN SPRINGS,15,
Teddy,D         ,SHIHTZUX  ,WhiteBrown,M,ALEXANDRA HEADLAND,16,
Lucy,D         ,CATTLEDOG ,Blue      ,F,COOLUM BEACH,15,
Bear,D         ,MALTESEX  ,Cream     ,M,YANDINA,15,
Scruffy,D         ,TERRIERSI ,Black     ,M,DOONAN,15,
Patch,D         ,PAPILLONX ,Black     ,M,MAROOCHYDORE,15,
Parker,D         ,LABRADOR  ,Gold      ,M,BUDDINA,15,
Cookie,D         ,TERRIERSIX,Caramel   ,F,SIPPY DOWNS,16,
Jess,D         ,DACHSHSHM ,Red       ,F,BUDERIM,15,
Kirra,D         ,TERRIERMA ,BlackTan  ,F,MUDJIMBA,15,
Milo,D         ,SCHNAUZER ,SaltPepper,M,BUDERIM,15,
Georgie,D         ,POODLETOY ,Black     ,M,BUDDINA,15,
